timestamp,longitude,latitude,message
2023-12-31 16:34:07,-77.081901821773,-7.3503294299053,
2023-12-31 16:34:13,-76.862634028135,-7.654298581999,
2023-12-31 16:34:18,-76.679651147774,-7.9074928878128,
2023-12-31 16:34:24,-76.459744793171,-8.2111889957329,
2023-12-31 16:34:30,-76.239469970872,-8.5147277196447,
2023-12-31 16:34:35,-76.055615587469,-8.7675524423088,
2023-12-31 16:34:41,-75.834628053757,-9.0707870192579,
2023-12-31 16:34:47,-75.613232864328,-9.3738450966711,
2023-12-31 16:34:52,-75.428412411754,-9.6262578600116,
2023-12-31 16:34:58,-75.206228013778,-9.928982270283,
2023-12-31 16:35:04,-74.983593303808,-10.231514868942,
2023-12-31 16:35:09,-74.797711064932,-10.483472692422,
2023-12-31 16:35:15,-74.574212664532,-10.785637537998,
2023-12-31 16:35:21,-74.350222237291,-11.087592940756,
2023-12-31 16:35:26,-74.163176723108,-11.339058247555,
2023-12-31 16:35:32,-73.938247101618,-11.640611266842,
2023-12-31 16:35:38,-73.712781639233,-11.941938918827,
